player_id,player_name,position,season,completions,attempts,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,fantasy_points,fantasy_points_ppr,tgt_sh,ay_sh,wopr_y,dom
00-0034614,Godwin Igwebuike,RB,2022,0,0,0.0,0,0.0,3,4.0,0,1,1,3.0,0,0.7000000000000001,1.7000000000000002,0.034482758620689655,0.011152416356877323,0.06064607101653634,0.00819672131147541
00-0034646,Brandon Powell,WR,2022,0,0,0.0,0,0.0,17,80.0,0,24,32,156.0,0,23.6,47.6,0.0642570281124498,0.013430330162283156,0.10712980629850122,0.023501054534498342
00-0034646,Brandon Powell,WR,2023,0,0,0.0,0,0.0,5,17.0,0,29,44,324.0,1,40.1,69.1,0.08979591836734693,0.08666144609762465,0.20402303442912012,0.0706338028169014
00-0034646,Brandon Powell,WR,2024,0,0,0.0,0,0.0,0,0.0,0,7,10,71.0,0,7.1000000000000005,14.1,0.045454545454545456,0.05872193436960276,0.11515936567750039,0.02030892448512586
00-0034676,James Washington,WR,2022,0,0,0.0,0,0.0,0,0.0,0,0,1,0.0,0,0.0,0.0,0.02564102564102564,0.01834862385321101,0.05314043754410727,0.0
00-0034681,Chase Edmonds,RB,2022,0,0,0.0,0,0.0,68,245.0,2,16,24,157.0,1,58.2,74.2,0.05194805194805195,0.01221001221001221,0.08769008769008768,0.044731698649609096
00-0034681,Chase Edmonds,RB,2023,0,0,0.0,0,0.0,49,176.0,0,14,17,81.0,0,25.700000000000003,39.7,0.03944315545243619,-0.006847439057792386,0.05368678193242038,0.012771996215704825
00-0034726,Dallin Leavitt,DB,2022,0,0,0.0,0,0.0,1,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
00-0034750,Rashaad Penny,RB,2022,0,0,0.0,0,0.0,57,346.0,2,4,5,16.0,0,48.2,52.2,0.03164556962025317,-0.008915304606240713,0.04033611074538718,0.006130268199233717
00-0034750,Rashaad Penny,RB,2023,0,0,0.0,0,0.0,11,33.0,0,1,1,5.0,0,3.8000000000000003,4.800000000000001,0.012195121951219513,-0.0013054830287206266,0.01724829650385277,0.0041459369817578775
00-0034753,Mark Andrews,TE,2022,0,0,0.0,0,0.0,3,8.0,0,73,113,847.0,5,117.5,190.5,0.2677725118483412,0.32094103979088007,0.658411599605216,0.29106280193236717
00-0034753,Mark Andrews,TE,2023,0,0,0.0,0,0.0,1,0.0,0,45,61,544.0,6,90.4,135.4,0.21180555555555555,0.17805466237942122,0.4601520632368703,0.34851814851814855
00-0034753,Mark Andrews,TE,2024,0,0,0.0,0,0.0,4,5.0,0,55,69,673.0,11,133.8,188.8,0.14465408805031446,0.17563671311869294,0.357490502570426,0.21447577569592835
00-0034764,Michael Gallup,WR,2022,0,0,0.0,0,0.0,0,0.0,0,39,74,424.0,4,66.4,105.4,0.16371681415929204,0.22231270358306188,0.42342538410538755,0.1418939626110941
00-0034764,Michael Gallup,WR,2023,0,0,0.0,0,0.0,0,0.0,0,34,57,418.0,2,53.800000000000004,87.8,0.09895833333333333,0.14181818181818182,0.2618920454545455,0.07784745416127054
00-0034765,Tre'Quan Smith,WR,2022,0,0,0.0,0,0.0,0,0.0,0,19,27,278.0,1,33.800000000000004,52.800000000000004,0.09152542372881356,0.13021243115656964,0.24145808051847606,0.10124383295115003
00-0034771,Mason Rudolph,QB,2023,55,74,719.0,3,0.0,10,8.0,0,0,0,0.0,0,39.56,39.56,0.0,0.0,0.0,0.0
00-0034771,Mason Rudolph,QB,2024,146,228,1530.0,9,9.0,25,106.0,1,0,0,0.0,0,95.8,95.8,0.0,0.0,0.0,0.0
00-0034775,Christian Kirk,WR,2022,0,1,0.0,0,0.0,5,11.0,0,84,133,1108.0,8,159.9,243.9,0.2231543624161074,0.27941176470588236,0.558260955388867,0.2935583413693346
00-0034775,Christian Kirk,WR,2023,1,2,-1.0,0,0.0,1,6.0,0,57,85,787.0,3,93.26,150.26,0.20432692307692307,0.26494650723725616,0.5184475904051895,0.23436561821624868
00-0034775,Christian Kirk,WR,2024,0,0,0.0,0,0.0,0,0.0,0,27,47,379.0,1,43.900000000000006,70.9,0.1865079365079365,0.289568345323741,0.5114165810208976,0.14717220514321963
00-0034777,D.J. Chark,WR,2022,0,0,0.0,0,0.0,0,0.0,0,30,52,502.0,3,68.2,98.2,0.1306532663316583,0.29075691411935956,0.4285854307929751,0.1577125178018956
00-0034777,D.J. Chark,WR,2023,0,0,0.0,0,0.0,0,0.0,0,35,66,525.0,5,80.5,115.5,0.13721413721413722,0.2720214190093708,0.4234383410287025,0.32132503827236897
00-0034777,DJ Chark,WR,2024,0,0,0.0,0,0.0,0,0.0,0,4,10,31.0,1,9.1,13.1,0.07142857142857142,0.09395424836601307,0.18230625583566762,0.0774181905678537
00-0034791,Nick Chubb,RB,2022,0,0,0.0,0,0.0,302,1525.0,12,27,37,239.0,1,254.4,281.4,0.06851851851851852,0.0,0.10277777777777777,0.05852603206128529
00-0034791,Nick Chubb,RB,2023,0,0,0.0,0,0.0,28,170.0,0,4,4,21.0,0,19.1,23.1,0.057971014492753624,0.0013812154696132596,0.08806149411482105,0.02699228791773779
00-0034791,Nick Chubb,RB,2024,0,0,0.0,0,0.0,102,332.0,3,5,11,31.0,1,58.3,63.3,0.031791907514450865,-0.0016818028927009755,0.046342418957515515,0.04510534471957533
00-0034796,Lamar Jackson,QB,2022,203,326,2242.0,17,7.0,112,764.0,3,0,0,0.0,0,236.08,236.08,0.0,0.0,0.0,0.0
00-0034796,Lamar Jackson,QB,2023,307,457,3678.0,24,7.0,148,821.0,5,0,0,0.0,0,331.22,331.22,0.0,0.0,0.0,0.0
00-0034796,Lamar Jackson,QB,2024,316,474,4172.0,41,4.0,139,915.0,4,0,0,0.0,0,430.38000000000005,430.38000000000005,0.0,0.0,0.0,0.0
00-0034798,Durham Smythe,TE,2022,0,0,0.0,0,0.0,2,1.0,1,15,20,129.0,1,25.0,40.0,0.04987531172069826,0.022965116279069768,0.0931850606043032,0.04253685503685504
00-0034798,Durham Smythe,TE,2023,0,0,0.0,0,0.0,0,0.0,0,35,43,366.0,0,36.6,71.60000000000001,0.09772727272727273,0.08313817330210772,0.2131014477325953,0.051318003365114974
00-0034798,Durham Smythe,TE,2024,0,0,0.0,0,0.0,0,0.0,0,9,17,53.0,0,5.300000000000001,14.3,0.03549060542797495,0.031554212823095,0.07847927840043843,0.007981927710843374
