,player_name,position,season,fantasy_points_ppr,passing_yards,passing_tds,interceptions,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,tgt_sh,ay_sh,wopr_y,dom
1716,C.J. Stroud,QB,2023,275.02,4108.0,23,5.0,157.0,3,1,1,0.0,0,0.0019723865877712,-0.0002198285337436,0.0027827170546618,0.0
1717,C.J. Stroud,QB,2024,220.38,3727.0,20,12.0,233.0,0,0,1,0.0,0,0.0017543859649122,0.0021491510853212,0.0043508998156254,0.0
1718,Anthony Richardson,QB,2023,72.68,577.0,3,1.0,136.0,4,0,0,0.0,0,0.0,0.0,0.0,0.0
1719,Anthony Richardson,QB,2024,163.36,1814.0,8,12.0,499.0,6,1,1,-1.0,0,0.0034482758620689,-0.0022883295194508,0.0033417501775428,-0.0002522704339051
1720,Zach Charbonnet,RB,2023,106.1,0.0,0,0.0,462.0,1,33,40,209.0,0,0.072595281306715,-0.0105344295991778,0.1004653782807303,0.0264690982776089
1721,Zach Charbonnet,RB,2024,183.7,0.0,0,0.0,569.0,8,42,52,308.0,1,0.087689713322091,-0.0131259115216334,0.1210338407658298,0.0589773703498298
1722,Johnny Wilson,WR,2024,14.8,0.0,0,0.0,0.0,0,5,15,38.0,1,0.0555555555555555,0.0750382848392036,0.1433639612046962,0.0480429807207416
1723,Chris Collier,RB,2024,1.8,0.0,0,0.0,12.0,0,1,2,-4.0,0,0.028169014084507,-0.0077399380804953,0.0360615706623642,-0.0042826552462526
1724,George Holani,RB,2024,1.9,0.0,0,0.0,10.0,0,1,1,-1.0,0,0.0158730158730158,-0.0028169014084507,0.0215560026827632,-0.001231527093596
1725,Baylor Cupp,TE,2024,0.0,0.0,0,0.0,0.0,0,0,1,0.0,0,0.027027027027027,0.0,0.0405405405405405,0.0
1726,Carson Steele,RB,2024,23.9,0.0,0,0.0,183.0,0,7,11,26.0,0,0.0276381909547738,-0.0071729957805907,0.0357188898076882,0.0046914471309996
1727,Malik Nabers,WR,2024,273.6,0.0,0,0.0,2.0,0,109,170,1204.0,7,0.3294573643410852,0.4510793383795907,0.8550495172153005,0.4660271079035381
1728,Brock Bowers,TE,2024,262.7,0.0,0,0.0,13.0,0,112,153,1194.0,5,0.2409448818897638,0.2071829405162738,0.5271636752476647,0.2765874487043452
1729,Xavier Legette,WR,2024,125.1,0.0,0,0.0,24.0,0,49,84,497.0,4,0.1696969696969697,0.2442494664453403,0.4499450277017268,0.1784159040706847
1730,Jonathon Brooks,RB,2024,7.500000000000001,0.0,0,0.0,22.0,0,3,3,23.0,0,0.0260869565217391,-0.0072529465095194,0.0333280775749931,0.0152925531914893
1731,Luke McCaffrey,WR,2024,34.8,0.0,0,0.0,0.0,0,18,24,168.0,0,0.06282722513089,0.0579216354344122,0.1405781460438648,0.0293706293706293
1732,Ja'Tavion Sanders,TE,2024,73.2,0.0,0,0.0,0.0,0,33,43,342.0,1,0.0905263157894736,0.0695561899818323,0.1914344256696764,0.0841838097782527
1733,Cade Stover,TE,2024,34.3,0.0,0,0.0,0.0,0,15,22,133.0,1,0.0512820512820512,0.033418295100538,0.1036577130035074,0.0603653592784027
1734,Bucky Irving,RB,2024,244.4,0.0,0,0.0,1122.0,8,47,52,392.0,0,0.0910683012259194,-0.040070564516129,0.1045460002259759,0.0435072142064372
1735,Isaac Guerendo,RB,2024,96.2,0.0,0,0.0,420.0,4,15,16,152.0,0,0.0393120393120393,0.0135354629128316,0.0697964292983242,0.0215786484951731
1736,Sione Vaki,RB,2024,8.1,0.0,0,0.0,14.0,0,3,3,37.0,0,0.0202702702702702,0.0158878504672897,0.0431156857792371,0.0128205128205128
1737,Jacob Cowing,WR,2024,12.7,0.0,0,0.0,7.0,0,4,6,80.0,0,0.06,0.09695603156708,0.167564825253664,0.0463499420625724
1738,Audric Estimé,RB,2024,48.7,0.0,0,0.0,310.0,2,5,5,27.0,0,0.0111856823266219,-0.0031645569620253,0.0142468779203126,0.0043831168831168
1739,Spencer Rattler,QB,2024,67.28,1317.0,4,5.0,146.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1740,Jamari Thrash,WR,2024,5.2,0.0,0,0.0,0.0,0,3,7,22.0,0,0.0275590551181102,0.0264935064935064,0.0625333878719705,0.0070242656449553
1741,Tyrone Tracy Jr.,RB,2024,182.3,0.0,0,0.0,839.0,5,38,53,284.0,1,0.0896785109983079,0.0044787260512565,0.1381007473384671,0.0736627851936003
1742,Bub Means,WR,2024,26.8,0.0,0,0.0,0.0,0,9,15,118.0,1,0.1034482758620689,0.1532912533814247,0.2778054164982432,0.163169164882227
1743,Kimani Vidal,RB,2024,32.7,0.0,0,0.0,155.0,0,5,9,62.0,1,0.0309278350515463,0.01947261663286,0.0619698458836076,0.0520939043366484
1744,Jha'Quan Jackson,WR,2024,1.3,0.0,0,0.0,-5.0,0,1,3,8.0,0,0.0422535211267605,0.115727002967359,0.155961884064028,0.0079051383399209
1745,Jase McClellan,RB,2024,3.2,0.0,0,0.0,32.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1746,Casey Washington,WR,2024,2.4000000000000004,0.0,0,0.0,0.0,0,1,2,14.0,0,0.0298507462686567,0.0730223123732251,0.1031939693015651,0.0158013544018058
